Team 1,Team 2,Team 1 Wins,Team 2 Wins
Atlanta Hawks,Washington Wizards,2,4
Boston Celtics,Chicago Bulls,4,2
Boston Celtics,Cleveland Cavaliers,1,4
Boston Celtics,Washington Wizards,4,3
Cleveland Cavaliers,Golden State Warriors,1,4
Cleveland Cavaliers,Indiana Pacers,4,0
Cleveland Cavaliers,Toronto Raptors,4,0
Golden State Warriors,Portland Trail Blazers,4,0
Golden State Warriors,San Antonio Spurs,4,0
Golden State Warriors,Utah Jazz,4,0
Houston Rockets,Oklahoma City Thunder,4,1
Houston Rockets,San Antonio Spurs,2,4
Los Angeles Clippers,Utah Jazz,3,4
Memphis Grizzlies,San Antonio Spurs,2,4
Milwaukee Bucks,Toronto Raptors,2,4
